patrimonio;ip;tipo;local;idEscolaComp
134309;192.168.77.211;PC;LAB;156
134308;;PC;SALA DE AULA;156
134307;192.168.77.209;PC;SALA DE AULA;156
134306; 192.168.77.208;PC;SALA DE AULA;156
134305;192.168.77.207;PC;SALA DE AULA;156
134304; 192.168.77.206;PC;SALA DE AULA;156
134303; 192.168.77.205;PC;SALA DE AULA;156
134302;192.168.77.224;PC;SALA DE AULA;156
134301;192.168.77.203;PC;SALA DE AULA;156
134300;192.168.77.202;PC;SALA DE AULA;156
134135;192.168.77.215;PC;PROFESSORES;156
134097;192.168.77.201;PC;SALA DE AULA;156
134096;192.168.77.200;PC;SALA DE AULA;156
129836;192.168.77.117;PC;LAB;156
129835; 192.168.77.106;PC;LAB;156
129835;192.168.77.107;PC;LAB;156
129833; 192.168.77.110;PC;LAB;156
129832; 192.168.77.103;PC;LAB;156
129831; 192.168.77.102;PC;LAB;156
129830; 192.168.77.109;PC;LAB;156
129829; 192.168.77.115;PC;LAB;156
129828; 192.168.77.190;PC;LAB;156
129827; 192.168.77.119;PC;LAB;156
129826; 192.168.77.120;PC;LAB;156
129825; 192.168.77.104;PC;LAB;156
129824;192.168.77.105;PC;LAB;156
129823; 192.168.77.114;PC;LAB;156
129822; 192.168.77.118;PC;LAB;156
129821; 192.168.77.101;PC;LAB;156
127104; 192.168.77.28 ;MINIPC;SECRETARIA;156
127103; 192.168.77.22;MINIPC;SECRETARIA;156
127102; 192.168.77.21;MINIPC;SECRETARIA;156
127101;192.168.77.35;MINIPC;RECURSOS;156
127100; 192.168.77.19;MINIPC;DIRE?ÄO;156
127099; 192.168.77.26;MINIPC;COORDENA?ÄO;156
134158;192.168.87.27;PC ;PROFESSORES;ADRIANA APARECIDA CASSIANO
134371;192.168.133.228;PC;SALA DE AULA;157
134370;192.168.133.207;PC;SALA DE AULA;157
134365;;PC;SALA DE AULA;157
134363;192.168.133.200;PC;SALA DE AULA;157
134317;192.168.133.201;PC;SALA DE AULA;157
134316;192.168.133.203;PC;SALA DE AULA;157
134314;192.168.133.204;PC;SALA DE AULA;157
134313;192.168.133.205;PC;SALA DE AULA;157
134312;;PC;SALA DE AULA;157
134134; 192.168.133.36;PC;SALA DE AULA;157
134123;192.168.133.209;PC;SALA DE AULA;157
130006; 192.168.133.89;PC;LAB;157
130005; 192.168.133.80;PC;LAB;157
130004; 192.168.133.98;PC;LAB;157
130003; 192.168.133.97;PC;LAB;157
130002; 192.168.133.96;PC;LAB;157
130001; 192.168.133.94;PC;LAB;157
130000; 192.168.133.90;PC;LAB;157
129999; 192.168.133.95;PC;LAB;157
129998;192.168.133.92;PC;LAB;157
129997; 192.168.133.91;PC;LAB;157
129996;192.168.133.93;PC;LAB;157
129995; 192.168.133.42;PC;LAB;157
129994; 192.168.133.88;PC;LAB;157
129993; 192.168.133.87;PC;LAB;157
129992; 192.168.133.86;PC;LAB;157
129938; 192.168.133.82;PC;LAB;157
129935;192.168.133.81;PC;LAB;157
129905;192.168.133.85 ;PC;LAB;157
129901;192.168.133.84;PC;LAB;157
129900; 192.168.133.83;PC;LAB;157
127109; 192.168.133.22;MINIPC;SECRETARIA;157
127108; 192.168.133.26;MINIPC;DIRE?ÄO;157
127107; 192.168.133.23 ;MINIPC;DIRE?ÄO;157
127106;192.168.133.24;MINIPC;SECRETARIA;157
127105;192.168.133.21;MINIPC;DIRE?ÄO;157
122451;192.168.133.21;PC;SECRETARIA;157
134361; 192.168.75.201;PC;SALA DE AULA;158
134360; 192.168.75.222;PC;SALA DE AULA;158
134358;192.168.75.203;PC;SALA DE AULA;158
134356; 192.168.75.205;PC;SALA DE AULA;158
134355; 192.168.75.206;PC;SALA DE AULA;158
134354;192.168.75.207;PC;SALA DE AULA;158
134352;192.168.75.209 ;PC;SALA DE AULA;158
134351;192.168.75.209 ;PC;SALA DE AULA;158
134350;192.168.75.209 ;PC;SALA DE AULA;158
134347; 192.168.75.200;PC;SALA DE AULA;158
134339; 192.168.75.214;PC;SALA DE AULA;158
134338; 192.168.75.212;PC;SALA DE AULA;158
134337;192.168.75.208;PC;SALA DE AULA;158
134336;192.168.75.204;PC;SALA DE AULA;158
134318; 192.168.75.202;PC;SALA DE AULA;158
134197;192.168.75.101;PC;LAB;158
134196;192.168.75.93;PC;LAB;158
134195;192.168.75.88;PC;LAB;158
134194; 192.168.75.92;PC;LAB;158
134193; 192.168.75.99;PC;LAB;158
134192;;PC;LAB;158
134191;192.168.75.96;PC;LAB;158
134190;;PC;LAB;158
134189; 192.168.75.80;PC;LAB;158
134188;;PC;LAB;158
134187;192.168.75.97;PC;LAB;158
134186;192.168.75.95;PC;LAB;158
134185;192.168.75.89;PC;LAB;158
134184;192.168.75.81;PC;LAB;158
134183; 192.168.75.98;PC;LAB;158
134182; 192.168.75.91;PC;LAB;158
134181;;PC;LAB;158
134180; 192.168.75.94;PC;LAB;158
134179; 192.168.75.104;PC;LAB;158
134178;;PC;LAB;158
134133;192.168.75.34;PC;PROFESSORES;158
127117; 192.168.75.27;MINIPC;COORDENA?ÄO;158
127116; 192.168.75.28;MINIPC;COORDENA?ÄO;158
127115; 192.168.75.26;MINIPC;DIRE?ÄO;158
127114; 192.168.75.25;MINIPC;SECRETARIA;158
127113;192.168.75.25;MINIPC;SECRETARIA;158
127112; 192.168.75.21;MINIPC;SECRETARIA;158
127111;192.168.75.32;MINIPC;DIRE?ÄO;158
127110; 192.168.75.23;MINIPC;DIRE?ÄO;158
134095;192.168.50.204;PC;SALA DE AULA;159
134095; 192.168.50.207;PC;SALA DE AULA;159
134016; 192.168.50.206;PC;SALA DE AULA;159
134011; 192.168.50.202;PC;SALA DE AULA;159
134009;192.168.50.209;PC;SALA DE AULA;159
134008; 192.168.50.205;PC;SALA DE AULA;159
133957; 192.168.50.200;PC;SALA DE AULA;159
133940;192.168.50.201;PC;SALA DE AULA;159
129991; 192.168.50.59;PC;LAB;159
129990; 192.168.50.44;PC;LAB;159
129989; 192.168.50.48;PC;LAB;159
129988; 192.168.50.47;PC;LAB;159
129987; 192.168.50.57;PC;LAB;159
129985;192.168.50.45;PC;LAB;159
129984; 192.168.50.56;PC;LAB;159
129983; 192.168.50.41;PC;LAB;159
129983; 192.168.50.51;PC;LAB;159
129981; 192.168.50.43;PC;LAB;159
129980;192.168.50.58;PC;LAB;159
129979; 192.168.50.46;PC;LAB;159
129978;192.168.50.50;PC;LAB;159
129977; 192.168.50.52;PC;LAB;159
129976; 192.168.50.54;PC;LAB;159
129975; 192.168.50.53;PC;LAB;159
129974; 192.168.50.49;PC;LAB;159
129973; 192.168.50.74;PC;LAB;159
129972; 192.168.50.42;PC;LAB;159
129948; 192.168.50.55;PC;LAB;159
125714; 192.168.50.203;PC;SALA DE AULA;159
125694;192.168.50.23;PC;SECRETARIA;159
125693;192.168.50.21;PC;SECRETARIA;159
125692;192.168.50.25;PC;RECURSOS;159
125691;192.168.50.22;PC;SECRETARIA;159
125690; 192.168.50.40;PC;PROFESSORES;159
125689;192.168.50.24;PC;DIRE?ÄO;159
125688; 192.168.50.26;PC;DIRE?ÄO;159
124976;192.168.50.210;PC;SALA DE AULA;159
